ts,elapsed_s,sql_state,bc_state,sql_query_ms,bc_api_ms,bc_http,web_http,restarts,note
2026-08-13T02:52:28+02:00,7129,running,running,314,45,200,200,1,
2026-08-13T02:53:14+02:00,7175,running,running,313,45,200,200,1,
2026-08-13T02:53:59+02:00,7221,running,running,324,42,200,200,1,
2026-08-13T02:54:45+02:00,7266,running,running,320,42,200,200,1,
2026-08-13T02:55:31+02:00,7312,running,running,304,42,200,200,1,
2026-08-13T02:56:16+02:00,7358,running,running,324,42,200,200,1,
2026-08-13T02:57:02+02:00,7403,running,running,329,40,200,200,1,
2026-08-13T02:57:48+02:00,7449,running,running,318,41,200,200,1,
2026-08-13T02:58:33+02:00,7495,running,running,322,50,200,200,1,
2026-08-13T02:59:19+02:00,7540,running,running,327,39,200,200,1,
2026-08-13T03:00:05+02:00,7586,running,running,322,48,200,200,1,
2026-08-13T03:00:50+02:00,7632,running,running,324,44,200,200,1,
2026-08-13T03:01:36+02:00,7678,running,running,316,38,200,200,1,
2026-08-13T03:02:22+02:00,7723,running,running,315,40,200,200,1,
2026-08-13T03:03:08+02:00,7769,running,running,321,48,200,200,1,
2026-08-13T03:03:53+02:00,7815,running,running,322,36,200,200,1,
2026-08-13T03:04:39+02:00,7860,running,running,319,38,200,200,1,
2026-08-13T03:05:25+02:00,7906,running,running,323,39,200,200,1,
2026-08-13T03:06:10+02:00,7952,running,running,324,41,200,200,1,
2026-08-13T03:06:56+02:00,7997,running,running,314,44,200,200,1,
2026-08-13T03:07:42+02:00,8043,running,running,320,41,200,200,1,
2026-08-13T03:08:27+02:00,8089,running,running,318,48,200,200,1,
2026-08-13T03:09:13+02:00,8134,running,running,313,43,200,200,1,
2026-08-13T03:09:59+02:00,8180,running,running,305,47,200,200,1,
2026-08-13T03:10:44+02:00,8226,running,running,314,46,200,200,1,
2026-08-13T03:11:30+02:00,8271,running,running,318,41,200,200,1,
2026-08-13T03:12:16+02:00,8317,running,running,312,47,200,200,1,
2026-08-13T03:13:02+02:00,8363,running,running,316,42,200,200,1,
2026-08-13T03:13:47+02:00,8409,running,running,320,47,200,200,1,
2026-08-13T03:14:33+02:00,8454,running,running,320,38,200,200,1,
2026-08-13T03:15:19+02:00,8500,running,running,323,53,200,200,1,
2026-08-13T03:16:04+02:00,8546,running,running,324,51,200,200,1,
2026-08-13T03:16:50+02:00,8591,running,running,314,41,200,200,1,
2026-08-13T03:17:36+02:00,8637,running,running,327,44,200,200,1,
2026-08-13T03:18:21+02:00,8683,running,running,321,58,200,200,1,
2026-08-13T03:19:07+02:00,8728,running,running,314,46,200,200,1,
2026-08-13T03:19:53+02:00,8774,running,running,320,40,200,200,1,
2026-08-13T03:20:38+02:00,8820,running,running,323,42,200,200,1,
2026-08-13T03:21:24+02:00,8865,running,running,314,39,200,200,1,
2026-08-13T03:22:10+02:00,8911,running,running,320,38,200,200,1,
2026-08-13T03:22:56+02:00,8957,running,running,322,38,200,200,1,
2026-08-13T03:23:41+02:00,9003,running,running,316,40,200,200,1,
2026-08-13T03:24:27+02:00,9048,running,running,328,42,200,200,1,
2026-08-13T03:25:13+02:00,9094,running,running,301,36,200,200,1,
2026-08-13T03:25:58+02:00,9140,running,running,314,43,200,200,1,
2026-08-13T03:26:44+02:00,9185,running,running,316,45,200,200,1,
